6 (4),Edinburgh,165 (3),-10%,8,7,"£ 1,219",£ 211.4M
7 (8),Sheffield,149 (8),1%,6,10,"£ 1,101",£ 205.3M
8 (9),Leicester,155 (5),-4%,6,11,"£ 1,145",£ 182.9M
9 (10),Leeds,143 (10),6%,5,12,"£ 1,057",£ 180.6M
10 (6),Liverpool,119 (13),-16%,6,9,£ 878,£ 174.6M

1 (1),Berlin,154 (1),-5%,5,11,"€ 1,340",€ 1.7B
2 (2),Hamburg,139 (3),-3%,5,12,"€ 1,212",€ 758.2M
3 (3),München,140 (2),-3%,5,11,"€ 1,218",€ 618.5M
4 (4),Cologne,99 (10),-7%,4,13,€ 867,€ 322.0M
5 (5),Frankfurt,107 (7),-8%,6,11,€ 935,€ 239.7M
6 (6),Stuttgart,108 (5),-11%,4,13,€ 938,€ 204.8M
7 (7),Dusseldorf,100 (9),-9%,4,14,€ 874,€ 187.3M
8 (8),Leipzig,108 (4),-4%,5,11,€ 941,€ 184.6M
9 (9),Nuremberg,107 (6),-11%,5,13,€ 937,€ 167.2M
10 (10),Bremen,96 (11),-2%,5,12,€ 839,€ 163.7M
